title                    	CLASS	T3s	C3s	A3s	G3s	CAI	CBI	Fop	Nc	GC3s	GC	L_sym	L_aa	Gravy	Aromo
lcl|U00096.3_cds_AAC74111	HOST	0.2876	0.2275	0.3246	0.326	0.205	0.102	0.463	56.14	0.474	0.568	268	276	-0.492391	0.072464
lcl|U00096.3_cds_AAC74112	HOST	0.2568	0.3514	0.3714	0.2424	0.262	0.165	0.529	61	0.483	0.538	87	88	-0.710227	0.056818
lcl|U00096.3_cds_1010_[ge	HOST	0.4205	0.2159	0.3671	0.2667	0.26	-0.027	0.4	61	0.371	0.437	105	113	-0.168142	0.079646
lcl|U00096.3_cds_AAC74114	HOST	0.5382	0.1927	0.2642	0.2172	0.246	0.039	0.44	52.95	0.32	0.424	300	308	0.397727	0.142857
lcl|U00096.3_cds_AAC74117	HOST	0.3936	0.2892	0.2708	0.2711	0.268	0.106	0.466	47.1	0.449	0.514	296	312	-0.258013	0.092949
lcl|U00096.3_cds_AAC74118	HOST	0.1852	0.2698	0.322	0.4277	0.147	0.003	0.389	50.93	0.564	0.5	211	232	0.083621	0.086207
lcl|U00096.3_cds_AAC74119	HOST	0.3086	0.3148	0.3411	0.208	0.187	0.108	0.491	51.29	0.45	0.549	171	175	-0.169714	0.091429
lcl|U00096.3_cds_AAC74120	HOST	0.2308	0.2769	0.2957	0.3805	0.177	0.058	0.434	55.38	0.552	0.555	143	155	-0.198065	0.154839
lcl|U00096.3_cds_AAC74121	HOST	0.2096	0.2838	0.3251	0.3938	0.143	-0.018	0.392	57.53	0.553	0.512	255	267	-0.224345	0.093633
lcl|U00096.3_cds_AAC74122	HOST	0.2545	0.2545	0.3786	0.3295	0.143	0.017	0.395	57.96	0.46	0.439	124	129	0.404651	0.085271
lcl|U00096.3_cds_AAC74123	HOST	0.28	0.23	0.2889	0.45	0.14	0.001	0.398	61	0.522	0.459	113	119	-0.042017	0.109244
lcl|U00096.3_cds_AAC74124	HOST	0.2443	0.2841	0.4012	0.2857	0.129	0.012	0.41	61	0.45	0.426	200	208	0.293269	0.081731
lcl|U00096.3_cds_AAC74125	HOST	0.4917	0.1333	0.3445	0.2804	0.228	-0.075	0.404	53.11	0.315	0.422	146	151	-0.229139	0.059603
lcl|U00096.3_cds_AAC74126	HOST	0.4504	0.374	0.1947	0.1667	0.563	0.47	0.709	37.18	0.453	0.514	148	151	-0.394702	0.059603
lcl|U00096.3_cds_AAC74127	HOST	0.2921	0.3258	0.3421	0.2899	0.126	-0.05	0.347	56.02	0.485	0.443	101	103	0.094175	0.106796
lcl|U00096.3_cds_AAC74128	HOST	0.2857	0.2338	0.3714	0.3333	0.189	-0.016	0.398	61	0.455	0.466	88	93	0.053763	0.075269
lcl|U00096.3_cds_AAC74129	HOST	0.32	0.3067	0.352	0.2049	0.17	0.034	0.448	54.43	0.436	0.533	163	169	-0.805917	0.12426
lcl|U00096.3_cds_AAC74130	HOST	0.3756	0.2513	0.3134	0.2601	0.199	0.032	0.447	55.28	0.42	0.525	436	446	-0.444395	0.116592
lcl|U00096.3_cds_AAC74131	HOST	0.3651	0.2603	0.3213	0.2687	0.183	-0.024	0.396	52.93	0.423	0.455	338	358	0.144972	0.131285
lcl|U00096.3_cds_AAC74132	HOST	0.3408	0.3632	0.2412	0.3238	0.384	0.252	0.569	44.77	0.534	0.5	485	511	-0.541096	0.113503
lcl|U00096.3_cds_AAC74133	HOST	0.2493	0.339	0.2117	0.3659	0.18	0.103	0.465	57.5	0.595	0.566	753	804	-0.01791	0.067164
lcl|U00096.3_cds_AAC74134	HOST	0.4426	0.1967	0.2889	0.3023	0.206	-0.192	0.323	61	0.385	0.524	65	70	0.01	0.142857
lcl|U00096.3_cds_AAC74135	HOST	0.3902	0.3537	0.3678	0.2805	0.321	0.065	0.483	51.84	0.448	0.505	116	124	-0.833064	0.104839
lcl|U00096.3_cds_AAC74137	HOST	0.2232	0.2899	0.3158	0.3791	0.182	0.029	0.427	55.72	0.551	0.538	372	390	-0.121026	0.128205
lcl|U00096.3_cds_AAC74138	HOST	0.2641	0.3636	0.2863	0.3084	0.339	0.297	0.576	48.07	0.543	0.532	276	306	-0.205229	0.104575
lcl|U00096.3_cds_AAC74139	HOST	0.3513	0.3584	0.2667	0.3456	0.339	0.18	0.531	48.8	0.519	0.499	337	350	-0.427429	0.088571
lcl|U00096.3_cds_AAC74140	HOST	0.2	0.2133	0.3057	0.4604	0.143	-0.021	0.374	56.65	0.552	0.491	174	180	-0.053889	0.044444
lcl|U00096.3_cds_AAC74141	HOST	0.4136	0.284	0.2443	0.2439	0.192	0.011	0.417	61	0.434	0.526	175	182	-0.439011	0.115385
lcl|U00096.3_cds_AAC74142	HOST	0.5581	0.0465	0.3939	0.1875	0.175	-0.188	0.311	36.8	0.178	0.385	45	45	0.746667	0.133333
lcl|U00096.3_cds_AAC74143	HOST	0.2098	0.2787	0.2404	0.4542	0.168	0.069	0.442	53.69	0.605	0.538	337	358	-0.053352	0.058659
lcl|U00096.3_cds_AAC74144	HOST	0.3333	0.2424	0.4528	0.22	0.172	0	0.425	61	0.37	0.482	73	74	-0.725676	0.067568
lcl|U00096.3_cds_AAC74145	HOST	0.4219	0.2812	0.3077	0.2241	0.274	0.127	0.5	49.55	0.397	0.486	78	81	-0.3	0.074074
lcl|U00096.3_cds_AAC74146	HOST	0.1739	0.3442	0.26	0.4145	0.219	0.125	0.479	54.85	0.63	0.548	305	330	-0.020303	0.084848
lcl|U00096.3_cds_AAC74147	HOST	0.3043	0.3696	0.2986	0.3209	0.336	0.213	0.542	43.45	0.525	0.471	179	186	-0.141936	0.064516
lcl|U00096.3_cds_AAC74148	HOST	0.3882	0.2529	0.3987	0.18	0.182	0.077	0.467	50.36	0.352	0.512	199	201	-1.039801	0.084577
lcl|U00096.3_cds_AAC74149	HOST	0.4522	0.2388	0.1821	0.2889	0.214	0.051	0.445	51.69	0.435	0.565	375	389	-0.285347	0.095116
lcl|U00096.3_cds_AAC74150	HOST	0.3822	0.3376	0.2824	0.2602	0.297	0.098	0.478	50.76	0.467	0.497	182	194	-0.523711	0.139175
lcl|U00096.3_cds_AAC74151	HOST	0.1768	0.3598	0.2185	0.4848	0.159	0.064	0.432	45.03	0.665	0.534	185	203	-0.200493	0.093596
lcl|U00096.3_cds_AAC74152	HOST	0.1912	0.3108	0.2589	0.4279	0.207	0.196	0.513	49.44	0.612	0.564	273	296	-0.108108	0.094595
lcl|U00096.3_cds_AAC74153	HOST	0.2718	0.2864	0.2405	0.3675	0.165	0.089	0.442	56.95	0.553	0.559	434	475	-0.122316	0.138947
lcl|U00096.3_cds_AAC74154	HOST	0.2982	0.2193	0.505	0.19	0.176	-0.066	0.403	45.18	0.341	0.501	129	131	-1.068702	0.053435
lcl|U00096.3_cds_AAC74155	HOST	0.2597	0.3896	0.2683	0.2857	0.342	0.317	0.606	50.24	0.553	0.529	94	97	-0.504124	0
lcl|U00096.3_cds_AAC74156	HOST	0.3988	0.2717	0.3082	0.2418	0.245	0.058	0.48	56.68	0.416	0.541	202	207	-0.799517	0.082126
lcl|U00096.3_cds_AAC74157	HOST	0.3051	0.2966	0.4141	0.1959	0.181	-0.009	0.435	48.81	0.412	0.556	131	133	-1.14812	0.090226
lcl|U00096.3_cds_AAC74158	HOST	0.3611	0.3519	0.3333	0.172	0.215	0.142	0.52	51.17	0.432	0.556	125	126	-1.077778	0.047619
lcl|U00096.3_cds_AAC74159	HOST	0.3224	0.3716	0.3239	0.2786	0.234	0.135	0.524	45.06	0.505	0.57	212	217	-1.43917	0.096774
lcl|U00096.3_cds_AAC74160	HOST	0.1631	0.2092	0.4099	0.3423	0.108	-0.072	0.335	56.3	0.479	0.525	355	387	-0.202067	0.077519
lcl|U00096.3_cds_AAC74161	HOST	0.2963	0.3657	0.2825	0.2542	0.2	0.102	0.504	54.86	0.521	0.609	238	243	-1.141564	0.065844
lcl|U00096.3_cds_AAC74162	HOST	0.256	0.4106	0.2143	0.3553	0.35	0.27	0.581	44.55	0.613	0.54	253	260	-0.268077	0.053846
lcl|U00096.3_cds_AAC74163	HOST	0.3315	0.337	0.3057	0.2516	0.214	0.094	0.481	52.48	0.481	0.565	210	217	-0.619355	0.119816
lcl|U00096.3_cds_AAC74164	HOST	0.1237	0.3196	0.3536	0.3806	0.145	0.099	0.449	50.73	0.592	0.558	316	346	-0.117919	0.104046
lcl|U00096.3_cds_AAC74165	HOST	0.1619	0.336	0.2974	0.3991	0.147	0.028	0.427	57.64	0.609	0.564	279	296	-0.73277	0.054054
lcl|U00096.3_cds_AAC74166	HOST	0.3193	0.338	0.3781	0.204	0.203	0.063	0.47	53.35	0.441	0.551	492	503	-0.973161	0.087475
lcl|U00096.3_cds_AAC74167	HOST	0.18	0.256	0.3583	0.3867	0.14	0	0.394	53.51	0.535	0.52	282	299	-0.382274	0.063545
lcl|U00096.3_cds_AAC74168	HOST	0.101	0.3943	0.2105	0.476	0.166	0.088	0.443	46.36	0.733	0.571	980	1018	-0.291257	0.041257
lcl|U00096.3_cds_AAC74169	HOST	0.4091	0.2273	0.3125	0.2329	0.183	0.052	0.429	56.06	0.378	0.454	98	102	0.015686	0.127451
lcl|U00096.3_cds_AAC74170	HOST	0.3625	0.2351	0.2614	0.3775	0.349	0.28	0.572	46.52	0.489	0.516	313	319	-0.460815	0.053292
lcl|U00096.3_cds_AAC74171	HOST	0.3481	0.2722	0.3261	0.203	0.18	0.059	0.465	60.81	0.412	0.529	170	179	-0.498883	0.111732
lcl|U00096.3_cds_AAC74172	HOST	0.2029	0.2971	0.2093	0.4917	0.138	0.04	0.413	57.33	0.645	0.516	155	164	-0.170122	0.04878
lcl|U00096.3_cds_AAC74173	HOST	0.2222	0.3333	0.4211	0.2632	0.214	0.126	0.49	54.6	0.49	0.579	51	53	-1.298113	0.09434
lcl|U00096.3_cds_AAC74174	HOST	0.3891	0.2867	0.2703	0.252	0.209	0.066	0.479	59.42	0.442	0.537	330	337	-0.596142	0.089021
lcl|U00096.3_cds_AAC74175	HOST	0.3432	0.3173	0.1815	0.3612	0.39	0.254	0.569	46.47	0.549	0.548	306	317	0.142902	0.056782
lcl|U00096.3_cds_AAC74176	HOST	0.3292	0.2593	0.264	0.3527	0.456	0.361	0.629	46.1	0.503	0.553	294	309	0.154369	0.061489
lcl|U00096.3_cds_AAC74177	HOST	0.3687	0.3081	0.3052	0.2925	0.18	0.042	0.46	56.67	0.464	0.532	224	232	-1.201293	0.125
lcl|U00096.3_cds_AAC74178	HOST	0.1	0.2	0.303	0.5079	0.093	-0.116	0.3	46.23	0.629	0.496	70	76	-0.193421	0.092105
lcl|U00096.3_cds_AAC74179	HOST	0.3668	0.341	0.2099	0.2804	0.472	0.374	0.643	43.83	0.508	0.534	398	413	0.007264	0.062954
lcl|U00096.3_cds_AAC74180	HOST	0.2523	0.3224	0.2273	0.3846	0.17	0.052	0.424	52.65	0.584	0.522	238	255	0.064706	0.082353
lcl|U00096.3_cds_AAC74181	HOST	0.3321	0.2868	0.2331	0.3936	0.323	0.189	0.522	46.41	0.537	0.509	324	340	-0.236176	0.088235
lcl|U00096.3_cds_AAC74182	HOST	0.1288	0.3313	0.2727	0.4532	0.162	0.089	0.45	50.41	0.65	0.557	180	203	0.040394	0.1133
lcl|U00096.3_cds_AAC74183	HOST	0.3138	0.3034	0.3056	0.2163	0.209	0.106	0.485	55.76	0.456	0.556	309	317	-0.300631	0.066246
lcl|U00096.3_cds_AAC74184	HOST	0.36	0.3022	0.2835	0.3081	0.368	0.211	0.533	50.14	0.479	0.509	261	265	-0.211698	0.075472
lcl|U00096.3_cds_AAC74185	HOST	0.2005	0.2431	0.3014	0.4157	0.169	0.087	0.439	54.57	0.563	0.533	435	465	0.114623	0.096774
lcl|U00096.3_cds_AAC74186	HOST	0.217	0.2321	0.3478	0.3591	0.16	0.027	0.409	54.7	0.496	0.508	655	704	0.09929	0.053977
lcl|U00096.3_cds_AAC74187	HOST	0.3714	0.2571	0.4	0.1772	0.175	-0.088	0.384	52.95	0.366	0.516	112	115	-1.129565	0.113043
lcl|U00096.3_cds_AAC74188	HOST	0.3229	0.3333	0.2658	0.3478	0.24	0.089	0.463	61	0.519	0.507	108	121	-0.096694	0.181818
lcl|U00096.3_cds_AAC74189	HOST	0.2874	0.3054	0.2229	0.3832	0.299	0.198	0.53	50.15	0.569	0.567	202	213	-0.214554	0.037559
lcl|U00096.3_cds_AAC74190	HOST	0.3234	0.234	0.3364	0.2488	0.218	0.056	0.461	56.14	0.417	0.547	254	261	0.013793	0.068966
lcl|U00096.3_cds_AAC74191	HOST	0.3129	0.2653	0.3252	0.2769	0.155	0.006	0.435	55.91	0.457	0.55	317	321	-0.707788	0.096573
lcl|U00096.3_cds_AAC74192	HOST	0.3662	0.162	0.4444	0.2377	0.132	-0.174	0.306	57.63	0.325	0.5	160	162	-0.437654	0.08642
lcl|U00096.3_cds_AAC74193	HOST	0.2949	0.3399	0.2132	0.3941	0.407	0.368	0.629	42.46	0.579	0.531	418	434	-0.124193	0.057604
lcl|U00096.3_cds_AAC74194	HOST	0.1286	0.2857	0.2929	0.4462	0.122	0.003	0.389	56.51	0.624	0.55	157	169	0.004142	0.053254
lcl|U00096.3_cds_AAC74195	HOST	0.2971	0.3257	0.3716	0.2286	0.175	0.061	0.454	53.67	0.454	0.528	196	200	-0.6475	0.08
lcl|U00096.3_cds_AAC74196	HOST	0.2105	0.2456	0.3538	0.4032	0.122	-0.103	0.338	59.63	0.527	0.504	74	80	-0.75375	0.0875
lcl|U00096.3_cds_AAC74197	HOST	0.3102	0.292	0.251	0.3491	0.344	0.203	0.524	44.88	0.521	0.534	309	320	-0.044688	0.065625
lcl|U00096.3_cds_AAC74198	HOST	0.146	0.3952	0.2532	0.4008	0.176	0.133	0.485	48.09	0.659	0.557	1021	1106	-0.185895	0.078662
lcl|U00096.3_cds_AAC74199	HOST	0.474	0.25	0.2421	0.2295	0.26	0.126	0.485	52.91	0.391	0.506	340	348	0.031609	0.086207
lcl|U00096.3_cds_AAC74200	HOST	0.4294	0.2647	0.2562	0.2218	0.202	0.03	0.45	54.95	0.409	0.56	369	379	-0.827704	0.100264
lcl|U00096.3_cds_AAC74201	HOST	0.1421	0.3825	0.2956	0.3624	0.196	0.113	0.472	54.73	0.629	0.568	197	220	0.136818	0.095455
lcl|U00096.3_cds_AAC74202	HOST	0.4441	0.2178	0.2921	0.2491	0.189	-0.077	0.383	56.24	0.378	0.535	386	397	-0.647607	0.123426
lcl|U00096.3_cds_AAC74203	HOST	0.3454	0.249	0.2886	0.2959	0.167	0.013	0.428	57.08	0.455	0.552	264	278	-0.433093	0.118705
lcl|U00096.3_cds_AAC74204	HOST	0.3382	0.2598	0.35	0.2	0.155	-0.013	0.418	56.52	0.4	0.541	220	229	-0.745852	0.091703
lcl|U00096.3_cds_AAC74205	HOST	0.4174	0.3165	0.3212	0.2067	0.246	0.048	0.467	53.95	0.41	0.444	244	248	-0.446774	0.125
lcl|U00096.3_cds_AAC74206	HOST	0.4574	0.3488	0.213	0.2021	0.266	0.125	0.493	56.93	0.438	0.436	146	153	-0.064052	0.150327
lcl|U00096.3_cds_AAC74207	HOST	0.2037	0.2444	0.3455	0.3774	0.146	-0.065	0.371	57.02	0.521	0.517	313	337	-0.432344	0.053412
lcl|U00096.3_cds_AAC74208	HOST	0.5065	0.2641	0.2011	0.1943	0.248	0.119	0.496	49.73	0.383	0.519	248	253	-0.303557	0.114625
lcl|U00096.3_cds_AAC74209	HOST	0.5542	0.2125	0.2181	0.2054	0.25	0.124	0.498	41.65	0.338	0.521	263	267	-0.367041	0.101124
lcl|U00096.3_cds_AAC74210	HOST	0.404	0.2119	0.3939	0.1692	0.165	-0.013	0.416	50.74	0.323	0.538	334	348	-0.950575	0.066092
lcl|U00096.3_cds_AAC74211	HOST	0.3585	0.2987	0.241	0.3843	0.372	0.256	0.568	43.57	0.519	0.5	391	408	-0.215196	0.066176
lcl|U00096.3_cds_AAC74212	HOST	0.33	0.33	0.2226	0.4008	0.372	0.272	0.568	46.68	0.556	0.542	354	373	-0.435925	0.107239
lcl|U00096.3_cds_AAC74213	HOST	0.1936	0.3501	0.2941	0.3782	0.162	0.03	0.435	53.95	0.591	0.53	423	459	-0.182353	0.100218
lcl|U00096.3_cds_AAC74214	HOST	0.3864	0.2898	0.2807	0.3013	0.299	0.192	0.514	46.5	0.458	0.478	214	223	-0.256502	0.058296
lcl|U00096.3_cds_AAC74215	HOST	0.3528	0.2599	0.3804	0.1873	0.16	0.03	0.43	56.06	0.379	0.551	414	422	-0.981043	0.085308
lcl|U00096.3_cds_AAC74216	HOST	0.2514	0.4358	0.1818	0.3133	0.308	0.243	0.546	46.42	0.628	0.573	207	213	0.137559	0.037559
lcl|U00096.3_cds_AAC74217	HOST	0.3287	0.4476	0.19	0.3166	0.45	0.361	0.63	37.82	0.588	0.538	357	368	-0.285054	0.089674
lcl|U00096.3_cds_AAC74218	HOST	0.232	0.32	0.2727	0.3628	0.208	0.195	0.51	56	0.566	0.507	143	152	-0.136184	0.098684
lcl|U00096.3_cds_AAC74219	HOST	0.3333	0.3448	0.269	0.2795	0.268	0.25	0.555	46.13	0.502	0.515	209	217	-0.669124	0.082949
lcl|U00096.3_cds_AAC74220	HOST	0.3667	0.2667	0.3686	0.206	0.136	-0.01	0.414	52.29	0.392	0.53	365	381	-1.174016	0.081365
lcl|U00096.3_cds_AAC74221	HOST	0.3208	0.195	0.4437	0.3287	0.148	-0.047	0.375	55.92	0.39	0.358	200	214	0.169626	0.079439
lcl|U00096.3_cds_AAC74222	HOST	0.5225	0.2191	0.3768	0.1833	0.145	-0.219	0.301	48.07	0.296	0.33	206	209	-0.120574	0.157895
lcl|U00096.3_cds_AAC74223	HOST	0.5	0.1638	0.4541	0.1846	0.192	-0.177	0.322	45.89	0.256	0.368	289	297	-0.252862	0.094276
lcl|U00096.3_cds_AAC74224	HOST	0.2226	0.3132	0.3832	0.3429	0.167	0.038	0.429	61	0.505	0.457	331	353	-0.21898	0.076487
lcl|U00096.3_cds_AAC74225	HOST	0.3729	0.2881	0.3273	0.2549	0.251	0.089	0.486	61	0.429	0.473	70	74	-0.260811	0.067568
lcl|U00096.3_cds_AAC74227	HOST	0.2826	0.25	0.3452	0.3816	0.179	-0.014	0.393	61	0.486	0.395	107	108	0.226852	0.101852
lcl|U00096.3_cds_AAC74228	HOST	0.3247	0.2987	0.2658	0.3836	0.233	0.061	0.443	57.97	0.526	0.474	97	102	-0.244118	0.029412
lcl|U00096.3_cds_AAC74229	HOST	0.3452	0.3095	0.4062	0.2602	0.163	-0.062	0.392	61	0.433	0.467	194	205	-1.057073	0.121951
lcl|U00096.3_cds_AAC74230	HOST	0.3469	0.2653	0.4038	0.26	0.299	0.178	0.531	57.54	0.406	0.429	64	66	-0.595455	0.121212
lcl|U00096.3_cds_AAC74231	HOST	0.4054	0.277	0.2676	0.3203	0.367	0.158	0.517	48.3	0.456	0.497	180	185	-0.122703	0.075676
lcl|U00096.3_cds_AAC74232	HOST	0.2791	0.1977	0.2874	0.381	0.118	-0.043	0.378	60.78	0.5	0.528	98	103	-0.459223	0.067961
lcl|U00096.3_cds_1126_[ge	HOST	0.3226	0.3226	0.2698	0.2414	0.329	0.184	0.535	49.16	0.479	0.543	71	78	-0.042308	0.064103
lcl|U00096.3_cds_1127_[ge	HOST	0.2609	0.4181	0.1784	0.4332	0.334	0.228	0.556	44.61	0.648	0.545	358	377	-0.423607	0.090186
lcl|U00096.3_cds_AAC74234	HOST	0.2857	0.3469	0.0769	0.4324	0.217	0.148	0.48	60.55	0.66	0.62	50	57	0.1	0.157895
lcl|U00096.3_cds_1129_[ge	HOST	0.2087	0.3478	0.2136	0.47	0.257	0.096	0.466	47.66	0.654	0.555	133	137	0.09708	0.109489
lcl|U00096.3_cds_1130_[ge	HOST	0.2699	0.3053	0.1905	0.4197	0.293	0.15	0.502	48.41	0.598	0.579	251	259	-0.062162	0.069498
lcl|U00096.3_cds_AAC74237	HOST	0.2544	0.355	0.3185	0.2692	0.227	0.161	0.519	56.69	0.525	0.593	181	185	-0.23027	0.048649
lcl|U00096.3_cds_AAC74238	HOST	0.2096	0.1976	0.3416	0.4295	0.124	-0.02	0.369	60.09	0.519	0.514	187	203	-0.005911	0.073892
lcl|U00096.3_cds_AAC74239	HOST	0.2929	0.2626	0.2979	0.4217	0.153	0.017	0.398	50.97	0.517	0.433	118	131	0.122137	0.114504
lcl|U00096.3_cds_AAC74240	HOST	0.2171	0.2237	0.3221	0.4962	0.131	-0.024	0.37	46.66	0.552	0.486	181	192	-0.128646	0.041667
lcl|U00096.3_cds_1135_[ge	HOST	0.4384	0.1712	0.3543	0.2414	0.238	-0.065	0.389	46.13	0.327	0.468	162	166	-0.344578	0.10241
lcl|U00096.3_cds_AAC74242	HOST	0.1716	0.3582	0.3388	0.4123	0.188	0.072	0.447	60	0.597	0.502	159	176	-0.109659	0.113636
lcl|U00096.3_cds_AAC74243	HOST	0.3909	0.2386	0.4211	0.2278	0.169	-0.081	0.379	53.79	0.358	0.406	232	244	-0.510246	0.159836
lcl|U00096.3_cds_1138_[ge	HOST	0.4054	0.3243	0.2821	0.2857	0.623	0.521	0.729	37.49	0.458	0.475	48	54	0.007407	0.074074
lcl|U00096.3_cds_AAC74244	HOST	0.2955	0.2045	0.5195	0.2206	0.121	-0.198	0.273	47.31	0.333	0.357	99	100	0.51	0.12
lcl|U00096.3_cds_AAC74245	HOST	0.3846	0.2308	0.4494	0.2099	0.18	0.02	0.43	52.09	0.339	0.391	121	121	-0.473554	0.140496
lcl|U00096.3_cds_AAC74246	HOST	0.3602	0.3172	0.3368	0.2081	0.229	0.098	0.46	57.58	0.42	0.49	226	243	-0.395473	0.08642
lcl|U00096.3_cds_AAC74247	HOST	0.2303	0.2776	0.3265	0.4207	0.148	-0.043	0.367	57.38	0.544	0.446	371	389	0.057583	0.100257
lcl|U00096.3_cds_AAC74248	HOST	0.3231	0.2615	0.5	0.1837	0.167	-0.031	0.431	46.02	0.361	0.44	72	75	-0.477333	0.12
lcl|U00096.3_cds_AAC74249	HOST	0.4286	0.1857	0.4242	0.2679	0.158	-0.08	0.384	61	0.326	0.374	86	90	-0.6	0.055556
lcl|U00096.3_cds_AAC74250	HOST	0.4412	0.2941	0.3542	0.1957	0.186	-0.01	0.434	50.83	0.382	0.386	76	76	-0.730263	0.131579
lcl|U00096.3_cds_AAC74251	HOST	0.5079	0.1905	0.4651	0.15	0.243	-0.135	0.371	44.23	0.257	0.38	70	72	-0.290278	0.180556
lcl|U00096.3_cds_AAC74252	HOST	0.4338	0.2549	0.3587	0.1851	0.199	-0.009	0.425	55.55	0.353	0.466	456	471	-0.644586	0.14862
lcl|U00096.3_cds_ABD18651	HOST	0.375	0.2812	0.25	0.3182	0.15	-0.017	0.362	57.39	0.464	0.407	69	72	0.679167	0.083333
lcl|U00096.3_cds_1149_[ge	HOST	0.447	0.2483	0.3344	0.203	0.24	0	0.438	53.56	0.357	0.433	856	881	-0.379682	0.079455
lcl|U00096.3_cds_AAC74255	HOST	0.3765	0.3294	0.3944	0.1912	0.206	0.097	0.495	52.46	0.406	0.475	101	101	-1.028713	0.079208
lcl|U00096.3_cds_AAC74256	HOST	0.3765	0.3412	0.2576	0.3016	0.186	0.202	0.546	43.68	0.495	0.55	97	109	-1.29266	0.155963
lcl|U00096.3_cds_ABP93440	HOST	0.2955	0.1818	0.4524	0.2432	0.123	-0.058	0.347	60.69	0.347	0.354	49	49	0.622449	0.102041
lcl|U00096.3_cds_ABP93441	HOST	0.3774	0.1698	0.4468	0.25	0.132	-0.228	0.267	54.46	0.317	0.383	60	61	0.019672	0.114754
lcl|U00096.3_cds_1154_[ge	HOST	0.3415	0.2561	0.321	0.3288	0.198	0.09	0.475	58.58	0.455	0.537	99	103	-0.396117	0.116505
lcl|U00096.3_cds_AAC74258	HOST	0.4143	0.2143	0.4426	0.1379	0.208	0.094	0.494	58.91	0.291	0.458	79	80	-0.77875	0.0875
lcl|U00096.3_cds_AAC74259	HOST	0.3227	0.3727	0.2765	0.2615	0.318	0.184	0.519	49.71	0.504	0.501	264	270	-0.118148	0.051852
lcl|U00096.3_cds_AAC74260	HOST	0.3351	0.2486	0.3122	0.32	0.297	0.146	0.498	53.4	0.457	0.511	223	231	-0.051082	0.04329
lcl|U00096.3_cds_AAC74261	HOST	0.3548	0.1613	0.3415	0.4459	0.195	-0.074	0.367	43.06	0.44	0.43	109	117	0.319658	0.128205
lcl|U00096.3_cds_AAC74262	HOST	0.3645	0.3645	0.33	0.2258	0.273	0.102	0.492	61	0.455	0.434	132	133	-0.633835	0.105263
lcl|U00096.3_cds_AAC74263	HOST	0.2432	0.3514	0.2969	0.3684	0.196	0.072	0.452	53.45	0.56	0.456	84	90	-0.228889	0.122222
lcl|U00096.3_cds_AAC74264	HOST	0.3407	0.2912	0.3419	0.2119	0.182	-0.002	0.43	60.41	0.425	0.546	200	205	-0.811707	0.107317
lcl|U00096.3_cds_AAC74265	HOST	0.2984	0.2339	0.3942	0.2574	0.146	-0.075	0.368	54.43	0.414	0.511	133	139	-0.396403	0.093525
lcl|U00096.3_cds_AAC74266	HOST	0.2685	0.1806	0.3807	0.4205	0.119	-0.092	0.34	55.96	0.462	0.43	262	279	-0.492473	0.057348
lcl|U00096.3_cds_AAC74267	HOST	0.161	0.2542	0.2963	0.4639	0.138	0.023	0.389	48.54	0.595	0.491	126	131	0.720611	0.076336
lcl|U00096.3_cds_AAC74268	HOST	0.3529	0.2824	0.2381	0.3831	0.231	0.012	0.426	52.16	0.517	0.511	404	422	-0.3	0.087678
lcl|U00096.3_cds_AAC74269	HOST	0.3475	0.2482	0.1628	0.4711	0.386	0.304	0.574	42.29	0.568	0.53	162	176	0.6375	0.147727
lcl|U00096.3_cds_AAC74270	HOST	0.474	0.2554	0.2466	0.1625	0.216	0.111	0.473	48.49	0.362	0.538	486	501	-0.441916	0.105788
lcl|U00096.3_cds_AAC74271	HOST	0.199	0.3214	0.2978	0.375	0.162	0.062	0.428	53.37	0.572	0.525	215	231	0.14329	0.103896
lcl|U00096.3_cds_AAC74272	HOST	0.3085	0.3676	0.2277	0.434	0.342	0.231	0.554	45.93	0.585	0.499	480	510	-0.612549	0.129412
lcl|U00096.3_cds_AAC74273	HOST	0.1802	0.3372	0.2547	0.3946	0.16	0.1	0.459	52.93	0.621	0.576	377	416	-0.223558	0.086538
lcl|U00096.3_cds_AAC74274	HOST	0.1765	0.308	0.2222	0.4269	0.143	0.084	0.442	50.31	0.64	0.604	308	335	-0.232836	0.080597
lcl|U00096.3_cds_AAC74275	HOST	0.322	0.298	0.2009	0.3639	0.276	0.181	0.5	49.31	0.542	0.524	554	578	0.671107	0.089965
lcl|U00096.3_cds_AAC74276	HOST	0.3514	0.3359	0.1818	0.3493	0.301	0.17	0.509	51.77	0.546	0.532	293	304	0.01579	0.075658
lcl|U00096.3_cds_AAC74277	HOST	0.3171	0.3415	0.3425	0.2246	0.205	0.067	0.471	61	0.46	0.537	189	193	-0.559586	0.088083
lcl|U00096.3_cds_AAC74278	HOST	0.215	0.355	0.2955	0.3313	0.178	0.009	0.416	58.9	0.57	0.518	221	235	-0.232766	0.110638
lcl|U00096.3_cds_AAC74279	HOST	0.2987	0.3636	0.1493	0.3396	0.229	0.17	0.494	43.2	0.582	0.54	79	84	1.45119	0.107143
lcl|U00096.3_cds_AAC74280	HOST	0.2844	0.2844	0.35	0.3222	0.159	0.003	0.397	56.99	0.476	0.43	126	134	0.117164	0.097015
lcl|U00096.3_cds_AAC74281	HOST	0.2796	0.3097	0.4172	0.1952	0.172	0.049	0.449	53.6	0.421	0.535	534	545	-0.784954	0.056881
